QUEST_20150317_000001	$Por favor, selecione o usuário solicitando a atualização da busca. 
QUEST_20150317_000002	$Estátua da Deusa Vakarine
QUEST_20150317_000003	$Por favor selecione um mapa. 
QUEST_20150317_000004	$Selecione
QUEST_20150317_000005	$Por favor selecione um item.
QUEST_20150317_000006	$Selecione Grupo 
QUEST_20150317_000007	$Por favor, selecione um grupo de início.
QUEST_20150317_000008	$Selecione Zona
QUEST_20150317_000009 $Por favor, selecione uma zona de início. 
QUEST_20150317_000010	$Selecione Progresso.
QUEST_20150317_000011	$Por favor, selecione uma classe.
QUEST_20150317_000012	$Mestre Bokor
QUEST_20150317_000013	$Então, você gostaria de aprender mais sobre esta pedra de ardósia. {nl}Se desejar, lhe mostrarei a vontade de seu criador.
QUEST_20150317_000014	$Deusa Laima
QUEST_20150317_000015	$No momento em que você receber esta mensagem, muito tempo terá se passado. {nl}Eu sou a Deusa do Destino e da Sabedoria, Laima.
QUEST_20150317_000016	$600 anos atrás, eu previ uma grande quantidade de morte e sofrimento. {nl}Se você está vendo isso, então eu receio que o que eu previ está acontecendo.
QUEST_20150317_000017	$Os demônios iniciaram o primeiro dos cataclismas, e todas as Deusas desapareceram. {nl}Eu sabia que isso ocorreria e fiz tudo que pude para prevenir este destino, mas meus poderes não foram o bastante.
QUEST_20150317_000018	$Em vez disso, eu vaguei por muitas visões distantes por uma resposta. {nl} Você estava no final deles... um Redentor.
QUEST_20150317_000019	$Infelizmente, eu não pude ficar aqui com os demônios procurando por mim, sabendo dos meus poderes de clarividência. {nl}Eu fui forçada a me esconder, até o momento que você aparecesse.
QUEST_20150317_000020	$Eu decidi dividir meu ser e subsistir no interior de várias mensagens. {nl}Mensagens que eu continuei a criar secretamente por muitos milênios.
QUEST_20150317_000021	$Redentor, se você puder me ajudar a recuperar minha forma, nós poderemos parar os planos sinistros dos demônios.{nl}Você deve recuperar as Revelações que eu escondi ao longo dos diversos eixos do tempo.
QUEST_20150317_000022	$Esta tarefa divina pode ser um pesado fardo, mas é algo que você deve suportar. {nl}Talvez, no meio da turvidêz de suas provações e tribulações, algo possa surgir.
QUEST_20150317_000023	$De qualquer forma, apenas nós podemos salvar este mundo.
QUEST_20150317_000024	$Eu passei a próxima Revelação para o primeiro Paladino. {nl}Eles estará aguardando você no mais alto dos jardins.
QUEST_20150317_000025	{memo X}A aura escura é realmente desagradável... {nl}Mas se esta mensagem é verdadeiramente da Deusa Laima, então eu vou apenas reverenciá-la.
QUEST_20150317_000026	{memo X}Bem, você deve se apressar e ir encontrar Sir Uska. {nl}Ele irá lhe dizer aonde ir em seguida. {nl}Que a Deusa abençoe seu destino...
QUEST_20150317_000027	$Por favor selecione a Smart Gen preferível.
QUEST_20150317_000028 $William
QUEST_20150317_000029 {memo X}A taxa é de 100 moedas de pratas. {nl}É mais barato do que cortar caminho através dos monstros.
QUEST_20150317_000030 $Cyneburg
QUEST_20150317_000031	{memo X}Isto custará 100 moedas de prata. {nl}Isto irá cobrir as operações, trabalho, e outros gastos
QUEST_20150317_000032	{memo X}Hey, espere um minuto. {nl}Você sabe que precisa mais do que isto...
QUEST_20150317_000033	{memo X}Isso não é bom! {nl}Eu não posso trabalhar por nada, mesmo para um Redentor.
QUEST_20150317_000034	$Mercador Nômade
QUEST_20150317_000035	$Como as sementes de um Dente-de-Leão, eu sou alguém que meramente segue o vento. {nl}Já que nos encontramos de uma forma bastante curiosa, talvez você poderia poupar um momento para ver as minhas curiosidades? 
